uid,pay_dt,payment_sum
cb1ef3ef1e9c802076280e506142012b6158ab7ea91eb065ae78c385,2019-07-05,3.49
cb1ef3ef1e9c802076280e506142012b6158ab7ea91eb065ae78c385,2019-07-06,0.69
cb1ef3ef1e9c802076280e506142012b6158ab7ea91eb065ae78c385,2019-07-09,6.99
cb1ef3ef1e9c802076280e506142012b6158ab7ea91eb065ae78c385,2019-07-11,13.99
daf53c5cc23b217911170d4474af6b21674c25debb9a05402182ae72,2019-07-17,6.99
daf53c5cc23b217911170d4474af6b21674c25debb9a05402182ae72,2019-07-21,1.39
daf53c5cc23b217911170d4474af6b21674c25debb9a05402182ae72,2019-09-07,6.99
daf53c5cc23b217911170d4474af6b21674c25debb9a05402182ae72,2019-09-08,20.98
bbb98e0c8c94102ce252e7d0f980a083679bfa9adf933d85dd06d4bb,2019-06-29,3.49
bbb98e0c8c94102ce252e7d0f980a083679bfa9adf933d85dd06d4bb,2019-07-05,48.98
bbb98e0c8c94102ce252e7d0f980a083679bfa9adf933d85dd06d4bb,2019-07-06,115.47
bbb98e0c8c94102ce252e7d0f980a083679bfa9adf933d85dd06d4bb,2019-07-07,13.99
bbb98e0c8c94102ce252e7d0f980a083679bfa9adf933d85dd06d4bb,2019-07-19,17.48
bbb98e0c8c94102ce252e7d0f980a083679bfa9adf933d85dd06d4bb,2019-08-02,20.98
bbb98e0c8c94102ce252e7d0f980a083679bfa9adf933d85dd06d4bb,2019-08-06,3.49
bbb98e0c8c94102ce252e7d0f980a083679bfa9adf933d85dd06d4bb,2019-08-30,38.47
bbb98e0c8c94102ce252e7d0f980a083679bfa9adf933d85dd06d4bb,2019-09-01,48.96
bbb98e0c8c94102ce252e7d0f980a083679bfa9adf933d85dd06d4bb,2019-09-13,2.09
17f2be48f29366247c132ffdf817c25658c41de57925a01a14b8dd03,2020-01-09,6.99
8a517466d4d5991941e9e0fb88a9e59f9d35fc769b2802c5f65aee96,2019-12-05,6.99
9064357fe574e1ac28493b9112916d6a4ffcf6fe96b301351170b908,2019-05-29,3.49
9064357fe574e1ac28493b9112916d6a4ffcf6fe96b301351170b908,2019-06-06,6.99
9064357fe574e1ac28493b9112916d6a4ffcf6fe96b301351170b908,2019-07-08,3.49
9064357fe574e1ac28493b9112916d6a4ffcf6fe96b301351170b908,2019-07-20,6.99
9064357fe574e1ac28493b9112916d6a4ffcf6fe96b301351170b908,2019-07-25,13.99
9064357fe574e1ac28493b9112916d6a4ffcf6fe96b301351170b908,2019-07-29,13.99
9064357fe574e1ac28493b9112916d6a4ffcf6fe96b301351170b908,2019-07-30,3.49
9064357fe574e1ac28493b9112916d6a4ffcf6fe96b301351170b908,2019-08-07,10.48
9064357fe574e1ac28493b9112916d6a4ffcf6fe96b301351170b908,2019-08-27,3.49
9064357fe574e1ac28493b9112916d6a4ffcf6fe96b301351170b908,2019-09-06,6.98
9064357fe574e1ac28493b9112916d6a4ffcf6fe96b301351170b908,2019-10-14,6.98
ffde10714ed36daf637a922a404644ae771c2ec0405f7e87dab2aad1,2019-06-25,3.49
ffde10714ed36daf637a922a404644ae771c2ec0405f7e87dab2aad1,2019-06-26,2.09
ffde10714ed36daf637a922a404644ae771c2ec0405f7e87dab2aad1,2019-11-23,3.49
a6327375cb1cc635c057cec97d66555a25f347624476719b79d13890,2019-04-29,18.17
a6327375cb1cc635c057cec97d66555a25f347624476719b79d13890,2019-04-30,13.99
8b2886a9915547933fa7c380a39cdf6f4d5f3e3921ef14b403641f93,2019-12-22,5.23
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-07-16,31.47
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-07-17,10.49
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-07-19,52.49
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-07-28,3.49
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-07-29,48.98
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-07-30,10.49
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-07-31,34.99
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-08-14,6.99
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-08-23,13.99
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-08-31,10.49
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-09-09,13.99
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-09-14,52.49
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-09-18,2.09
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-09-30,10.49
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-10-26,6.99
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-10-28,13.99
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-11-28,10.49
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-11-29,5.23
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-12-12,13.99
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-12-25,13.99
c859b43ff2a7d483a6338739689ea56d34f4e45599cbe34efebf9fe5,2019-08-01,2.78
c859b43ff2a7d483a6338739689ea56d34f4e45599cbe34efebf9fe5,2019-08-10,1.39
a15867eb39b8d19da1fc32bcc350538e43590324571dbbe36917b2f2,2019-05-11,13.99
a606c1fc6f8b381ff329139481d6220525b660f315c854bceb333830,2019-07-13,6.99
0516f37e7150c707df6dd98eba9698b2bb1af903cd3a3513ccd91628,2019-09-01,13.94
0516f37e7150c707df6dd98eba9698b2bb1af903cd3a3513ccd91628,2019-09-03,2.09
0516f37e7150c707df6dd98eba9698b2bb1af903cd3a3513ccd91628,2019-09-11,3.49
3fc0f98504882f0b31cb6b22d504a30a0a1fbe9d7b9e7147a8e2b7b3,2019-05-24,34.99
3fc0f98504882f0b31cb6b22d504a30a0a1fbe9d7b9e7147a8e2b7b3,2019-05-27,59.48
3fc0f98504882f0b31cb6b22d504a30a0a1fbe9d7b9e7147a8e2b7b3,2019-06-06,83.98
3fc0f98504882f0b31cb6b22d504a30a0a1fbe9d7b9e7147a8e2b7b3,2019-08-28,15.38
3fc0f98504882f0b31cb6b22d504a30a0a1fbe9d7b9e7147a8e2b7b3,2019-09-26,0.69
3fc0f98504882f0b31cb6b22d504a30a0a1fbe9d7b9e7147a8e2b7b3,2019-10-12,3.49
3fc0f98504882f0b31cb6b22d504a30a0a1fbe9d7b9e7147a8e2b7b3,2019-10-14,3.49
3fc0f98504882f0b31cb6b22d504a30a0a1fbe9d7b9e7147a8e2b7b3,2019-10-18,6.99
35af4db3d25f553445674e873b9c459f6eae6df2ce4035cac4bca1e0,2019-10-19,6.99
35af4db3d25f553445674e873b9c459f6eae6df2ce4035cac4bca1e0,2019-11-18,13.99
35af4db3d25f553445674e873b9c459f6eae6df2ce4035cac4bca1e0,2019-12-27,6.99
35af4db3d25f553445674e873b9c459f6eae6df2ce4035cac4bca1e0,2019-12-28,13.99
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-07-15,3.49
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-07-25,3.49
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-07-31,13.99
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-08-01,3.49
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-08-24,10.49
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-08-25,3.49
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-08-26,6.98
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-08-27,6.99
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-09-02,3.49
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-09-13,6.99
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-11-20,13.99
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-11-24,13.99
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-11-26,10.48
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-12-13,10.49
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-12-27,6.99
9fdbf7cf3a05c57c2d834bcc7626d4cd3fe367d2ebb889e5fdb142f7,2019-07-06,20.97
5f904a4d5bffde7c5ce514051d3c0b76295470a0adcc1c7525220928,2019-07-04,139.98
5f904a4d5bffde7c5ce514051d3c0b76295470a0adcc1c7525220928,2019-07-08,69.99
d2a8a181b70bd5a8ee940073fba6f3b59c9dc67e2b890c4fe4b524b4,2019-11-14,1.39
eea3d5426dc8f2285d438e830399dd70aed441d1ab7b4142e2486ca5,2019-06-20,13.99
7ea43f5c837e04086308d69f2c94c17a248df2971a03e21f07b5311d,2019-12-18,3.49
7ea43f5c837e04086308d69f2c94c17a248df2971a03e21f07b5311d,2019-12-21,9.08
73dcb4ba46b4b879292b1bb4692aa1dcdf91b95f784ab61fdb7692f0,2019-10-08,10.47
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-05-27,10.48
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-06-06,17.47
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-06-07,34.99
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-07-14,13.99
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-07-26,3.49
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-08-23,6.99
