uid,reg_dt
1ef97d08f94722cc479b73df5c0218f5ba2c9404a1e93e2436a2f77c,2019-06-25
c9f16ccbf1bbc5c5ee2e446b11d0b1ff61a3f0956b4ae76b2a767f25,2019-10-15
ec697f3d7cd7cbb584af5d3666d201c82e3a476362f9077461462a43,2019-05-14
f6e99c72f21a6d85d1794f9bc1eecbcb7d891eac66f80248bf8796d1,2019-05-12
8df304b377bed6ca39e4f5501c6817d75592c0ab224f36f7a5a1c45e,2019-10-26
e0ee456b792015617be1b1110c231b104b2999a63002156c5015120a,2019-04-26
3f49dac6515dd9108fb1acb63747deea607dd87177e3e3f0f053279a,2019-08-06
26633ae65c431190445a1cd6a9567c9f62f07411adf87f415fbe6797,2019-10-05
cb1ef3ef1e9c802076280e506142012b6158ab7ea91eb065ae78c385,2019-07-04
e1a3ff2f50514139d3a4f98c921b797f2a8e3f73406eb86d79350771,2019-12-21
7181fa4199f4c4192409a845a7041c583fd8458e0862a2a92bb7cdcd,2019-06-05
0fa8c5ea3184b7891d84fce1ded1374ca0451783ede36935fc5a317f,2019-07-08
6ce5a5263a7c5ff9705c062cf0d2fe24eb39421a7b9d833e3ca8c26e,2019-04-19
32959868b20ccf4403ed4b8a8a4ac68e447e8a53fa9f0045ca4870d2,2019-12-10
9365d04806bcec37a39db8bdd6b562e6afac2294f762e56e6ceab9f0,2019-04-27
774fab595494fd53a810f4780339e85d7f8b2e48861c9672c823b816,2019-07-12
2ae77869cd56d5fd2419bd584fef499149384e025305977b6d413fd2,2019-06-23
5e6393b5e942e9b20510e45d50f391313abd63cc25dce79f59c7b8e8,2019-07-25
bf1d8a09c3ff66e597ccd58ddfd1f68e50f8f653e3777d60a9b21ad4,2019-07-24
860105d7db691465878a34330d3ce41f610a9e3541b19e4d22263cd0,2019-12-24
4623a0b54fe025b6956c243133a74b2644241655fa0374315045b9da,2019-06-26
714f3ca8476c14265827811718ed3e1ffa51c1a529d2673b465bc94f,2019-09-30
51e5b259c078bc9e7593e2b3a6ca6a340c04d329d0c1c53470bc25fd,2019-06-28
e712c73e90d25dc22be56d0d38efd74f75862ffb6edc8151fc7e893b,2019-05-09
daf53c5cc23b217911170d4474af6b21674c25debb9a05402182ae72,2019-07-14
7d7c03c90616d3721f3bba8aa2ad39de1e3c71a595c1c6903845c954,2019-10-29
bbb98e0c8c94102ce252e7d0f980a083679bfa9adf933d85dd06d4bb,2019-06-24
39e3dfc634a828d2caf5100ec4396ed71c99f0648f98b4eac479a563,2019-05-13
7c9e527af49086b56ef1ba6b97142c73af221247db39767fdf8715a1,2019-05-13
bce738533929e606cb9000ec5aa1887557a5b1ba2bb31839d7f16066,2019-12-14
547ae7b35d5122e1c2613d76de565fdf4a5e94b39fb9693778c24913,2019-09-04
